iso3,area_scope,area_level,calendar_quarter_t2,calendar_quarter_t3,calendar_quarter_t1,survey_prevalence,survey_art_coverage,survey_recently_infected,use_survey_aggregate,include_art_t1,include_art_t2,artattend,artattend_t2,anc_clients_year2,anc_clients_year2_num_months,anc_prevalence_year1,anc_prevalence_year2,anc_art_coverage_year1,anc_art_coverage_year2,spectrum_population_calibration,output_aware_plhiv,max_iterations,no_of_samples,rng_seed,permissive,artattend_log_gamma_offset,use_kish_prev,deff_prev,use_kish_artcov,deff_artcov,use_kish_recent,deff_recent,spectrum_plhiv_calibration_level,spectrum_plhiv_calibration_strat,spectrum_artnum_calibration_level,spectrum_artnum_calibration_strat,spectrum_aware_calibration_level,spectrum_aware_calibration_strat,spectrum_infections_calibration_level,spectrum_infections_calibration_strat,calibrate_method,deff_vls,use_kish_vls,rho_paed_x_term,rho_paed_15to49f_ratio,alpha_xst_term,adjust_area_growth,anchor_home_district
AGO,AGO,1,CY2020Q4,CY2021Q3,CY2015Q4,AGO2015DHS,,,FALSE,FALSE,FALSE,FALSE,FALSE,2020,12,2017,2020,2017,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
BDI,BDI,2,CY2020Q4,CY2021Q3,CY2016Q4,BDI2016DHS,,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2017,2020,2017,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
BEN,BEN,2,CY2020Q4,CY2021Q3,CY2012Q1,BEN2012DHS,,,TRUE,FALSE,TRUE,TRUE,FALSE,2020,12,2016,2020,2016,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
BFA,BFA,2,CY2020Q4,CY2021Q3,CY2010Q3,BFA2010DHS,,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2016,2020,2016,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
BWA,BWA,3,CY2020Q4,CY2021Q3,CY2013Q1,BWA2013BAIS,BWA2013BAIS,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2020,2020,2020,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
CAF,CAF,3,CY2020Q4,CY2021Q3,CY2010Q4,CAF2010MICS,,,TRUE,FALSE,TRUE,TRUE,FALSE,2020,12,2019,2020,2019,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
CMR,CMR,3,CY2020Q4,CY2021Q3,CY2017Q3,CMR2018DHS; CMR2017PHIA,CMR2017PHIA,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2018,2020,2018,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
COD,COD,3,CY2020Q4,CY2021Q3,CY2013Q4,COD2013DHS,,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2019,2020,2019,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
COG,COG,2,CY2020Q4,CY2021Q3,CY2009Q2,COG2009AIS,,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,12,2018,2020,2018,2020,national,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
ETH,ETH,2,CY2020Q3,CY2021Q3,CY2016Q1,ETH2016DHS,,,FALSE,FALSE,TRUE,TRUE,FALSE,2020,9,2018,2020,2018,2020,subnational,TRUE,250,1000,1000,TRUE,-4,TRUE,1,TRUE,1,TRUE,1,none,sex_age_group,none,sex_age_coarse,none,sex_age_coarse,none,sex_age_coarse,logistic,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
